po_number,po_line,posting_date,company_code,site_id,site_name,department_id,department_name,cost_center,supplier_child_id,supplier_child_name,supplier_parent_id,supplier_parent_name,supplier_grandparent_id,supplier_grandparent_name,item_code,item_cat_l_id,item_cat_l_name,item_cat_m_id,item_cat_m_name,item_cat_s_id,item_cat_s_name,uom,quantity,unit_price,net_amount,currency,payment_terms,buyer,contract_flag,purchasing_channel,tax_amount,gross_amount
PO20253000226,1,2025-05-06,JP01,S002,横浜オフィス,D004,人事,CC2201,SC024,ネクサスコンサル64 株式会社,SP004,SCM Procurement Services,SGP004,SCM & Logistics Group,IM000128,CL003,ビジネスサービス,CM026,翻訳/通訳,CS0128,翻訳/通訳（スポット対応）,EA,10.0,1512279.34,15122793.42,JPY,NET30,SUZUKI,1,eProc,1512279.34,16635072.76
PO20253000304,1,2025-05-06,JP01,S004,関西物流センター,D005,情報システム,CC2001,SC049,フロンティアプロモ66 合同会社,SP009,Travel East Japan,SGP009,Travel & Events Network,IM000049,CL001,マーケティング,CM010,データ分析,CS0049,データ分析（月額サブスク）,HOUR,40.0,257170.28,10286811.38,JPY,NET45,UEDA,1,Catalog,1028681.14,11315492.52
PO20253000454,1,2025-05-06,JP01,S002,横浜オフィス,D009,SCM企画,CC5101,SC010,ユニオンマーケ85 合同会社,SP010,Consulting Services,SGP010,Consulting & Professional Group,IM000219,CL005,IT,CM044,ネットワーク,CS0219,ネットワーク（月額サブスク）,MONTH,3.0,4287041.51,12861124.52,JPY,NET60,SUZUKI,0,Spot,1286112.45,14147236.97
PO20253000050,1,2025-05-08,JP01,S003,関東物流センター,D006,物流,CC5001,SC043,サミットイベント86 K.K.,SP003,Business Services Holdings Solutions,SGP003,Business Services Holdings,IM000135,CL003,ビジネスサービス,CM027,コンサル,CS0135,コンサル（単発作業）,HOUR,80.0,348895.71,27911656.49,JPY,NET30,SUZUKI,0,eProc,2791165.65,30702822.14
PO20253000193,1,2025-05-08,JP01,S003,関東物流センター,D008,総務,CC1001,SC028,ノヴァマーケ88 株式会社,SP008,HR Partners,SGP008,HR & Talent Solutions Group,IM000129,CL003,ビジネスサービス,CM026,翻訳/通訳,CS0129,翻訳/通訳（月額サブスク）,HOUR,20.0,215377.92,4307558.49,JPY,NET30,SATO,1,Framework,430755.85,4738314.34
PO20253000066,1,2025-05-09,JP01,S003,関東物流センター,D008,総務,CC1001,SC007,アクティブBPO69 株式会社,SP007,Packaging East Japan,SGP007,Packaging & Materials Group,IM000246,CL005,IT,CM050,ヘルプデスク,CS0246,ヘルプデスク（標準プラン）,MONTH,1.0,6059453.56,6059453.56,JPY,NET60,TANAKA,0,Spot,605945.36,6665398.92
PO20253000137,1,2025-05-09,JP01,S002,横浜オフィス,D003,経理,CC2101,SC037,サミットロジ8 合同会社,SP017,Packaging Partners,SGP007,Packaging & Materials Group,IM000063,CL002,リテールプロモ,CM013,ノベルティ,CS0063,ノベルティ（スポット対応）,HOUR,80.0,326933.31,26154664.83,JPY,NET60,KOBAYASHI,0,Framework,2615466.48,28770131.31
PO20253000407,1,2025-05-09,JP01,S005,名古屋拠点,D003,経理,CC2101,SC026,ブルームパッケージ9 Ltd.,SP006,Facilities West Japan,SGP006,Facilities & Workplace Services,IM000027,CL001,マーケティング,CM006,市場調査,CS0027,市場調査（プレミアムプラン）,EA,5.0,1367493.33,6837466.63,JPY,NET45,TANAKA,1,eProc,683746.66,7521213.29
PO20253000190,1,2025-05-11,JP01,S005,名古屋拠点,D007,カスタマーセンター,CC7001,SC008,ブルームプロモ71 K.K.,SP008,HR Partners,SGP008,HR & Talent Solutions Group,IM000005,CL001,マーケティング,CM001,広告出稿,CS0005,広告出稿（単発作業）,MONTH,1.0,5640154.98,5640154.98,JPY,NET30,SUZUKI,0,Spot,564015.5,6204170.48
PO20253000166,1,2025-05-12,JP01,S004,関西物流センター,D001,マーケティング,CC4001,SC023,クレストイベント47 合同会社,SP003,Business Services Holdings Solutions,SGP003,Business Services Holdings,IM000054,CL002,リテールプロモ,CM011,店頭什器,CS0054,店頭什器（月額サブスク）,HOUR,20.0,341277.34,6825546.76,JPY,NET60,TANAKA,1,Catalog,682554.68,7508101.44
PO20253000240,1,2025-05-12,JP01,S001,本社（東京）,D008,総務,CC1001,SC024,ネクサスコンサル64 株式会社,SP004,SCM Procurement Services,SGP004,SCM & Logistics Group,IM000116,CL003,ビジネスサービス,CM024,法務/士業,CS0116,法務/士業（標準プラン）,HOUR,160.0,184240.5,29478479.41,JPY,NET30,TANAKA,1,eProc,2947847.94,32426327.35
PO20253000096,1,2025-05-13,JP01,S005,名古屋拠点,D006,物流,CC5001,SC049,フロンティアプロモ66 合同会社,SP009,Travel East Japan,SGP009,Travel & Events Network,IM000004,CL001,マーケティング,CM001,広告出稿,CS0004,広告出稿（月額サブスク）,MONTH,1.0,5123210.41,5123210.41,JPY,NET30,TANAKA,0,Catalog,512321.04,5635531.45
PO20253000343,1,2025-05-13,JP01,S002,横浜オフィス,D004,人事,CC2201,SC011,サミットプロモ30 株式会社,SP011,Global Marketing Alliance Agency,SGP001,Global Marketing Alliance,IM000045,CL001,マーケティング,CM009,撮影/動画,CS0045,撮影/動画（単発作業）,MONTH,6.0,6703745.32,40222471.89,JPY,NET60,TANAKA,1,Spot,4022247.19,44244719.08
PO20253000061,1,2025-05-14,JP01,S002,横浜オフィス,D009,SCM企画,CC5101,SC027,ブルームパッケージ60 K.K.,SP007,Packaging East Japan,SGP007,Packaging & Materials Group,IM000136,CL003,ビジネスサービス,CM028,清掃/警備,CS0136,清掃/警備（標準プラン）,PACK,2.0,1371297.18,2742594.35,JPY,NET30,UEDA,0,Spot,274259.44,3016853.79
PO20253000076,1,2025-05-14,JP01,S002,横浜オフィス,D003,経理,CC2101,SC008,ブルームプロモ71 K.K.,SP008,HR Partners,SGP008,HR & Talent Solutions Group,IM000004,CL001,マーケティング,CM001,広告出稿,CS0004,広告出稿（月額サブスク）,MONTH,2.0,6880183.78,13760367.56,JPY,NET30,SATO,0,Framework,1376036.76,15136404.32
PO20253000209,1,2025-05-15,JP01,S001,本社（東京）,D004,人事,CC2201,SC043,サミットイベント86 K.K.,SP003,Business Services Holdings Solutions,SGP003,Business Services Holdings,IM000017,CL001,マーケティング,CM004,SNS運用,CS0017,SNS運用（プレミアムプラン）,PACK,50.0,821808.08,41090403.79,JPY,NET60,TANAKA,1,Framework,4109040.38,45199444.17
PO20253000444,1,2025-05-15,JP01,S002,横浜オフィス,D001,マーケティング,CC4001,SC024,ネクサスコンサル64 株式会社,SP004,SCM Procurement Services,SGP004,SCM & Logistics Group,IM000138,CL003,ビジネスサービス,CM028,清掃/警備,CS0138,清掃/警備（スポット対応）,SET,2.0,1245176.95,2490353.9,JPY,NET30,SUZUKI,1,Spot,249035.39,2739389.29
PO20253000487,1,2025-05-15,JP01,S005,名古屋拠点,D001,マーケティング,CC4001,SC022,ノヴァコンサル34 Ltd.,SP002,Retail Promotion Partners Japan K.K.,SGP002,Retail Promotion Partners,IM000142,CL003,ビジネスサービス,CM029,設備保全,CS0142,設備保全（プレミアムプラン）,SET,50.0,1948155.71,97407785.57,JPY,NET60,KOBAYASHI,0,Framework,9740778.56,107148564.13
PO20253000011,1,2025-05-16,JP01,S004,関西物流センター,D003,経理,CC2101,SC005,ユニオンプロモ49 株式会社,SP005,Tech Procurement Services,SGP005,Tech & Digital Services Group,IM000239,CL005,IT,CM048,IT運用,CS0239,IT運用（月額サブスク）,MONTH,12.0,3224579.75,38694957.04,JPY,NET60,SATO,1,eProc,3869495.7,42564452.74
PO20253000120,1,2025-05-16,JP01,S005,名古屋拠点,D004,人事,CC2201,SC041,サミットコンサル78 Ltd.,SP001,Global Marketing Alliance East Japan,SGP001,Global Marketing Alliance,IM000019,CL001,マーケティング,CM004,SNS運用,CS0019,SNS運用（月額サブスク）,SET,2.0,1632555.78,3265111.56,JPY,NET60,UEDA,1,eProc,326511.16,3591622.72
PO20253000422,1,2025-05-17,JP01,S004,関西物流センター,D008,総務,CC1001,SC037,サミットロジ8 合同会社,SP017,Packaging Partners,SGP007,Packaging & Materials Group,IM000073,CL002,リテールプロモ,CM015,サンプリング,CS0073,サンプリング（スポット対応）,MONTH,12.0,3788458.32,45461499.84,JPY,NET60,SUZUKI,0,eProc,4546149.98,50007649.82
PO20253000460,1,2025-05-17,JP01,S005,名古屋拠点,D007,カスタマーセンター,CC7001,SC049,フロンティアプロモ66 合同会社,SP009,Travel East Japan,SGP009,Travel & Events Network,IM000053,CL002,リテールプロモ,CM011,店頭什器,CS0053,店頭什器（スポット対応）,HOUR,80.0,170307.63,13624610.34,JPY,NET60,KOBAYASHI,0,Framework,1362461.03,14987071.37
PO20253000024,1,2025-05-19,JP01,S003,関東物流センター,D005,情報システム,CC2001,SC014,サミットプロモ78 合同会社,SP014,SCM East Japan,SGP004,SCM & Logistics Group,IM000010,CL001,マーケティング,CM002,デジタル広告,CS0010,デジタル広告（単発作業）,PACK,5.0,1356497.72,6782488.59,JPY,NET45,KOBAYASHI,1,Catalog,678248.86,7460737.45
PO20253000309,1,2025-05-20,JP01,S005,名古屋拠点,D003,経理,CC2101,SC010,ユニオンマーケ85 合同会社,SP010,Consulting Services,SGP010,Consulting & Professional Group,IM000093,CL002,リテールプロモ,CM019,売場データ,CS0093,売場データ（スポット対応）,HOUR,20.0,227864.62,4557292.37,JPY,NET30,SUZUKI,0,Spot,455729.24,5013021.61
PO20253000397,1,2025-05-20,JP01,S004,関西物流センター,D004,人事,CC2201,SC024,ネクサスコンサル64 株式会社,SP004,SCM Procurement Services,SGP004,SCM & Logistics Group,IM000093,CL002,リテールプロモ,CM019,売場データ,CS0093,売場データ（スポット対応）,HOUR,80.0,264358.57,21148685.63,JPY,NET45,TANAKA,0,eProc,2114868.56,23263554.19
PO20253000495,1,2025-05-20,JP01,S003,関東物流センター,D004,人事,CC2201,SC032,ノヴァビジネス65 株式会社,SP012,Retail Promotion Partners Japan K.K.,SGP002,Retail Promotion Partners,IM000112,CL003,ビジネスサービス,CM023,研修/教育,CS0112,研修/教育（プレミアムプラン）,HOUR,40.0,292496.82,11699872.93,JPY,NET30,TANAKA,1,eProc,1169987.29,12869860.22
PO20253000497,1,2025-05-20,JP01,S004,関西物流センター,D002,営業（リテール）,CC4101,SC015,ノヴァロジ21 Ltd.,SP015,Tech Procurement Services,SGP005,Tech & Digital Services Group,IM000001,CL001,マーケティング,CM001,広告出稿,CS0001,広告出稿（標準プラン）,LOT,1.0,5633880.66,5633880.66,JPY,NET45,SATO,1,Catalog,563388.07,6197268.73
PO20253000122,1,2025-05-21,JP01,S003,関東物流センター,D008,総務,CC1001,SC025,アクティブプロモ20 合同会社,SP005,Tech Procurement Services,SGP005,Tech & Digital Services Group,IM000090,CL002,リテールプロモ,CM018,リテールメディア,CS0090,リテールメディア（単発作業）,PACK,5.0,1652538.29,8262691.45,JPY,NET45,TANAKA,0,Catalog,826269.14,9088960.59
PO20253000204,1,2025-05-21,JP01,S001,本社（東京）,D006,物流,CC5001,SC015,ノヴァロジ21 Ltd.,SP015,Tech Procurement Services,SGP005,Tech & Digital Services Group,IM000117,CL003,ビジネスサービス,CM024,法務/士業,CS0117,法務/士業（プレミアムプラン）,LOT,3.0,3254914.85,9764744.56,JPY,NET60,UEDA,0,Spot,976474.46,10741219.02
PO20253000217,1,2025-05-21,JP01,S003,関東物流センター,D008,総務,CC1001,SC033,サミットコンサル78 合同会社,SP013,Business Services Holdings Japan K.K.,SGP003,Business Services Holdings,IM000138,CL003,ビジネスサービス,CM028,清掃/警備,CS0138,清掃/警備（スポット対応）,SET,1.0,1497853.67,1497853.67,JPY,NET45,SUZUKI,0,Spot,149785.37,1647639.04
PO20253000004,1,2025-05-22,JP01,S004,関西物流センター,D005,情報システム,CC2001,SC019,オリオンパッケージ92 K.K.,SP019,Travel Japan K.K.,SGP009,Travel & Events Network,IM000137,CL003,ビジネスサービス,CM028,清掃/警備,CS0137,清掃/警備（プレミアムプラン）,LOT,3.0,4791036.32,14373108.95,JPY,NET45,SATO,1,Framework,1437310.9,15810419.85
PO20253000168,1,2025-05-27,JP01,S005,名古屋拠点,D003,経理,CC2101,SC010,ユニオンマーケ85 合同会社,SP010,Consulting Services,SGP010,Consulting & Professional Group,IM000107,CL003,ビジネスサービス,CM022,人材派遣,CS0107,人材派遣（プレミアムプラン）,EA,20.0,2283767.59,45675351.78,JPY,NET45,KOBAYASHI,0,eProc,4567535.18,50242886.96
PO20253000239,1,2025-05-27,JP01,S001,本社（東京）,D004,人事,CC2201,SC048,アクティブロジ9 株式会社,SP008,HR Partners,SGP008,HR & Talent Solutions Group,IM000070,CL002,リテールプロモ,CM014,販促キャンペーン,CS0070,販促キャンペーン（単発作業）,MONTH,3.0,4351306.4,13053919.19,JPY,NET60,SATO,0,Framework,1305391.92,14359311.11
PO20253000257,1,2025-05-27,JP01,S004,関西物流センター,D004,人事,CC2201,SC047,クレストロジ1 株式会社,SP007,Packaging East Japan,SGP007,Packaging & Materials Group,IM000001,CL001,マーケティング,CM001,広告出稿,CS0001,広告出稿（標準プラン）,LOT,1.0,3413941.06,3413941.06,JPY,NET45,UEDA,0,Framework,341394.11,3755335.17
PO20253000064,1,2025-05-28,JP01,S004,関西物流センター,D007,カスタマーセンター,CC7001,SC028,ノヴァマーケ88 株式会社,SP008,HR Partners,SGP008,HR & Talent Solutions Group,IM000037,CL001,マーケティング,CM008,SEO/コンテンツ,CS0037,SEO/コンテンツ（プレミアムプラン）,SET,5.0,2072297.68,10361488.38,JPY,NET60,SATO,1,eProc,1036148.84,11397637.22
PO20253000127,1,2025-05-28,JP01,S004,関西物流センター,D004,人事,CC2201,SC045,オリオンロジ9 K.K.,SP005,Tech Procurement Services,SGP005,Tech & Digital Services Group,IM000054,CL002,リテールプロモ,CM011,店頭什器,CS0054,店頭什器（月額サブスク）,HOUR,20.0,340795.77,6815915.35,JPY,NET30,UEDA,0,Framework,681591.54,7497506.89
PO20253000221,1,2025-05-28,JP01,S005,名古屋拠点,D002,営業（リテール）,CC4101,SC038,クレストプロモ11 Ltd.,SP018,HR Services,SGP008,HR & Talent Solutions Group,IM000056,CL002,リテールプロモ,CM012,POP/印刷,CS0056,POP/印刷（標準プラン）,MONTH,1.0,7792922.72,7792922.72,JPY,NET30,TANAKA,0,Spot,779292.27,8572214.99
PO20253000490,1,2025-05-28,JP01,S005,名古屋拠点,D004,人事,CC2201,SC046,アクティブパッケージ71 合同会社,SP006,Facilities West Japan,SGP006,Facilities & Workplace Services,IM000020,CL001,マーケティング,CM004,SNS運用,CS0020,SNS運用（単発作業）,SET,1.0,1171841.6,1171841.6,JPY,NET30,UEDA,1,eProc,117184.16,1289025.76
PO20253000491,1,2025-05-28,JP01,S004,関西物流センター,D002,営業（リテール）,CC4101,SC036,エコーマーケ15 K.K.,SP016,Facilities Procurement Services,SGP006,Facilities & Workplace Services,IM000225,CL005,IT,CM045,セキュリティ,CS0225,セキュリティ（単発作業）,LOT,12.0,2670862.91,32050354.94,JPY,NET30,KOBAYASHI,0,Framework,3205035.49,35255390.43
PO20253000337,1,2025-05-29,JP01,S004,関西物流センター,D006,物流,CC5001,SC020,オリオンBPO51 Ltd.,SP020,Consulting Partners,SGP010,Consulting & Professional Group,IM000030,CL001,マーケティング,CM006,市場調査,CS0030,市場調査（単発作業）,MONTH,3.0,5584592.55,16753777.64,JPY,NET60,UEDA,1,Catalog,1675377.76,18429155.4
PO20253000115,1,2025-05-31,JP01,S003,関東物流センター,D008,総務,CC1001,SC042,オリオンコンサル97 合同会社,SP002,Retail Promotion Partners Japan K.K.,SGP002,Retail Promotion Partners,IM000055,CL002,リテールプロモ,CM011,店頭什器,CS0055,店頭什器（単発作業）,MONTH,2.0,5104300.02,10208600.04,JPY,NET60,SUZUKI,0,Catalog,1020860.0,11229460.04
PO20253000446,1,2025-05-31,JP01,S003,関東物流センター,D002,営業（リテール）,CC4101,SC005,ユニオンプロモ49 株式会社,SP005,Tech Procurement Services,SGP005,Tech & Digital Services Group,IM000082,CL002,リテールプロモ,CM017,ディスプレイ施工,CS0082,ディスプレイ施工（プレミアムプラン）,SET,1.0,2690281.01,2690281.01,JPY,NET60,SUZUKI,1,Spot,269028.1,2959309.11
PO20253000459,1,2025-05-31,JP01,S002,横浜オフィス,D005,情報システム,CC2001,SC021,ネクサスサプライ18 合同会社,SP001,Global Marketing Alliance East Japan,SGP001,Global Marketing Alliance,IM000018,CL001,マーケティング,CM004,SNS運用,CS0018,SNS運用（スポット対応）,PACK,10.0,895889.97,8958899.68,JPY,NET45,SATO,1,Spot,895889.97,9854789.65
PO20253000128,1,2025-06-01,JP01,S001,本社（東京）,D007,カスタマーセンター,CC7001,SC002,エコーパッケージ36 株式会社,SP002,Retail Promotion Partners Japan K.K.,SGP002,Retail Promotion Partners,IM000014,CL001,マーケティング,CM003,クリエイティブ制作,CS0014,クリエイティブ制作（月額サブスク）,HOUR,160.0,238384.32,38141491.49,JPY,NET30,UEDA,0,Catalog,3814149.15,41955640.64
PO20253000223,1,2025-06-04,JP01,S002,横浜オフィス,D006,物流,CC5001,SC030,ユニオンサプライ56 合同会社,SP010,Consulting Services,SGP010,Consulting & Professional Group,IM000070,CL002,リテールプロモ,CM014,販促キャンペーン,CS0070,販促キャンペーン（単発作業）,MONTH,1.0,6928537.84,6928537.84,JPY,NET60,SATO,0,eProc,692853.78,7621391.62
PO20253000015,1,2025-06-05,JP01,S002,横浜オフィス,D004,人事,CC2201,SC034,ネクサスデジタル98 合同会社,SP014,SCM East Japan,SGP004,SCM & Logistics Group,IM000028,CL001,マーケティング,CM006,市場調査,CS0028,市場調査（スポット対応）,EA,2.0,1103920.25,2207840.49,JPY,NET30,SATO,1,eProc,220784.05,2428624.54
PO20253000161,1,2025-06-05,JP01,S001,本社（東京）,D003,経理,CC2101,SC034,ネクサスデジタル98 合同会社,SP014,SCM East Japan,SGP004,SCM & Logistics Group,IM000084,CL002,リテールプロモ,CM017,ディスプレイ施工,CS0084,ディスプレイ施工（月額サブスク）,HOUR,40.0,324457.98,12978319.07,JPY,NET45,TANAKA,1,Catalog,1297831.91,14276150.98
PO20253000494,1,2025-06-05,JP01,S001,本社（東京）,D008,総務,CC1001,SC050,サミットBPO28 合同会社,SP010,Consulting Services,SGP010,Consulting & Professional Group,IM000013,CL001,マーケティング,CM003,クリエイティブ制作,CS0013,クリエイティブ制作（スポット対応）,EA,5.0,1314444.78,6572223.88,JPY,NET30,UEDA,0,Spot,657222.39,7229446.27
PO20253000062,1,2025-06-08,JP01,S003,関東物流センター,D008,総務,CC1001,SC014,サミットプロモ78 合同会社,SP014,SCM East Japan,SGP004,SCM & Logistics Group,IM000103,CL003,ビジネスサービス,CM021,BPO/事務委託,CS0103,BPO/事務委託（スポット対応）,MONTH,3.0,7045663.64,21136990.92,JPY,NET30,SATO,0,Spot,2113699.09,23250690.01
PO20253000394,1,2025-06-08,JP01,S005,名古屋拠点,D007,カスタマーセンター,CC7001,SC026,ブルームパッケージ9 Ltd.,SP006,Facilities West Japan,SGP006,Facilities & Workplace Services,IM000127,CL003,ビジネスサービス,CM026,翻訳/通訳,CS0127,翻訳/通訳（プレミアムプラン）,MONTH,2.0,3649896.72,7299793.43,JPY,NET60,TANAKA,0,Catalog,729979.34,8029772.77
PO20253000296,1,2025-06-09,JP01,S002,横浜オフィス,D007,カスタマーセンター,CC7001,SC043,サミットイベント86 K.K.,SP003,Business Services Holdings Solutions,SGP003,Business Services Holdings,IM000082,CL002,リテールプロモ,CM017,ディスプレイ施工,CS0082,ディスプレイ施工（プレミアムプラン）,SET,50.0,2081919.32,104095965.98,JPY,NET45,SUZUKI,0,Framework,10409596.6,114505562.58
PO20253000323,1,2025-06-11,JP01,S001,本社（東京）,D004,人事,CC2201,SC005,ユニオンプロモ49 株式会社,SP005,Tech Procurement Services,SGP005,Tech & Digital Services Group,IM000020,CL001,マーケティング,CM004,SNS運用,CS0020,SNS運用（単発作業）,SET,20.0,1471861.79,29437235.77,JPY,NET30,SUZUKI,0,Spot,2943723.58,32380959.35
PO20253000435,1,2025-06-11,JP01,S005,名古屋拠点,D005,情報システム,CC2001,SC018,フロンティアイベント35 株式会社,SP018,HR Services,SGP008,HR & Talent Solutions Group,IM000097,CL002,リテールプロモ,CM020,販促物流,CS0097,販促物流（プレミアムプラン）,SET,50.0,2311895.06,115594752.78,JPY,NET60,TANAKA,0,Catalog,11559475.28,127154228.06
PO20253000134,1,2025-06-12,JP01,S003,関東物流センター,D009,SCM企画,CC5101,SC041,サミットコンサル78 Ltd.,SP001,Global Marketing Alliance East Japan,SGP001,Global Marketing Alliance,IM000149,CL003,ビジネスサービス,CM030,総務支援,CS0149,総務支援（月額サブスク）,LOT,6.0,4033687.74,24202126.43,JPY,NET60,SATO,0,Catalog,2420212.64,26622339.07
PO20253000365,1,2025-06-12,JP01,S005,名古屋拠点,D001,マーケティング,CC4001,SC039,ユニオンコンサル99 合同会社,SP019,Travel Japan K.K.,SGP009,Travel & Events Network,IM000139,CL003,ビジネスサービス,CM028,清掃/警備,CS0139,清掃/警備（月額サブスク）,PACK,20.0,818814.2,16376283.9,JPY,NET30,SATO,0,Catalog,1637628.39,18013912.29
PO20253000374,1,2025-06-12,JP01,S005,名古屋拠点,D004,人事,CC2201,SC020,オリオンBPO51 Ltd.,SP020,Consulting Partners,SGP010,Consulting & Professional Group,IM000065,CL002,リテールプロモ,CM013,ノベルティ,CS0065,ノベルティ（単発作業）,EA,20.0,2195846.03,43916920.53,JPY,NET30,KOBAYASHI,1,Framework,4391692.05,48308612.58
PO20253000087,1,2025-06-15,JP01,S001,本社（東京）,D003,経理,CC2101,SC024,ネクサスコンサル64 株式会社,SP004,SCM Procurement Services,SGP004,SCM & Logistics Group,IM000224,CL005,IT,CM045,セキュリティ,CS0224,セキュリティ（月額サブスク）,EA,3.0,1096354.63,3289063.89,JPY,NET60,SUZUKI,0,eProc,328906.39,3617970.28
PO20253000129,1,2025-06-15,JP01,S003,関東物流センター,D008,総務,CC1001,SC044,エコーコンサル58 株式会社,SP004,SCM Procurement Services,SGP004,SCM & Logistics Group,IM000054,CL002,リテールプロモ,CM011,店頭什器,CS0054,店頭什器（月額サブスク）,HOUR,160.0,342558.25,54809319.81,JPY,NET60,UEDA,0,Catalog,5480931.98,60290251.79
PO20253000097,1,2025-06-19,JP01,S003,関東物流センター,D006,物流,CC5001,SC047,クレストロジ1 株式会社,SP007,Packaging East Japan,SGP007,Packaging & Materials Group,IM000134,CL003,ビジネスサービス,CM027,コンサル,CS0134,コンサル（月額サブスク）,EA,5.0,2095271.95,10476359.76,JPY,NET45,SATO,0,Framework,1047635.98,11523995.74
PO20253000147,1,2025-06-19,JP01,S004,関西物流センター,D004,人事,CC2201,SC033,サミットコンサル78 合同会社,SP013,Business Services Holdings Japan K.K.,SGP003,Business Services Holdings,IM000114,CL003,ビジネスサービス,CM023,研修/教育,CS0114,研修/教育（月額サブスク）,EA,20.0,2126731.45,42534628.94,JPY,NET30,TANAKA,0,Spot,4253462.89,46788091.83
PO20253000214,1,2025-06-19,JP01,S003,関東物流センター,D005,情報システム,CC2001,SC003,ネクサスイベント44 K.K.,SP003,Business Services Holdings Solutions,SGP003,Business Services Holdings,IM000217,CL005,IT,CM044,ネットワーク,CS0217,ネットワーク（プレミアムプラン）,PACK,5.0,961091.27,4805456.33,JPY,NET45,KOBAYASHI,1,Spot,480545.63,5286001.96
PO20253000112,1,2025-06-23,JP01,S001,本社（東京）,D006,物流,CC5001,SC028,ノヴァマーケ88 株式会社,SP008,HR Partners,SGP008,HR & Talent Solutions Group,IM000108,CL003,ビジネスサービス,CM022,人材派遣,CS0108,人材派遣（スポット対応）,SET,1.0,1333628.52,1333628.52,JPY,NET45,TANAKA,1,eProc,133362.85,1466991.37
PO20253000231,1,2025-06-24,JP01,S002,横浜オフィス,D008,総務,CC1001,SC013,ネクサスデジタル46 合同会社,SP013,Business Services Holdings Japan K.K.,SGP003,Business Services Holdings,IM000088,CL002,リテールプロモ,CM018,リテールメディア,CS0088,リテールメディア（スポット対応）,LOT,6.0,3706484.48,22238906.9,JPY,NET30,SATO,0,eProc,2223890.69,24462797.59
PO20253000084,1,2025-06-27,JP01,S004,関西物流センター,D001,マーケティング,CC4001,SC031,エコーマーケ93 K.K.,SP011,Global Marketing Alliance Agency,SGP001,Global Marketing Alliance,IM000054,CL002,リテールプロモ,CM011,店頭什器,CS0054,店頭什器（月額サブスク）,HOUR,40.0,200444.3,8017771.87,JPY,NET60,UEDA,0,Spot,801777.19,8819549.06
PO20253000164,1,2025-06-27,JP01,S005,名古屋拠点,D001,マーケティング,CC4001,SC005,ユニオンプロモ49 株式会社,SP005,Tech Procurement Services,SGP005,Tech & Digital Services Group,IM000041,CL001,マーケティング,CM009,撮影/動画,CS0041,撮影/動画（標準プラン）,MONTH,1.0,6536414.98,6536414.98,JPY,NET60,SUZUKI,0,Catalog,653641.5,7190056.48
PO20253000401,1,2025-06-27,JP01,S005,名古屋拠点,D003,経理,CC2101,SC041,サミットコンサル78 Ltd.,SP001,Global Marketing Alliance East Japan,SGP001,Global Marketing Alliance,IM000025,CL001,マーケティング,CM005,PR/広報,CS0025,PR/広報（単発作業）,HOUR,80.0,242466.39,19397310.99,JPY,NET30,TANAKA,0,eProc,1939731.1,21337042.09
PO20253000034,1,2025-06-29,JP01,S004,関西物流センター,D002,営業（リテール）,CC4101,SC026,ブルームパッケージ9 Ltd.,SP006,Facilities West Japan,SGP006,Facilities & Workplace Services,IM000207,CL005,IT,CM042,ソフトウェア,CS0207,ソフトウェア（プレミアムプラン）,LOT,2.0,2728986.18,5457972.36,JPY,NET30,TANAKA,0,Framework,545797.24,6003769.6
PO20253000114,1,2025-06-30,JP01,S002,横浜オフィス,D007,カスタマーセンター,CC7001,SC048,アクティブロジ9 株式会社,SP008,HR Partners,SGP008,HR & Talent Solutions Group,IM000022,CL001,マーケティング,CM005,PR/広報,CS0022,PR/広報（プレミアムプラン）,SET,50.0,2041913.65,102095682.6,JPY,NET60,TANAKA,0,eProc,10209568.26,112305250.86
PO20253000178,1,2025-07-01,JP01,S003,関東物流センター,D005,情報システム,CC2001,SC015,ノヴァロジ21 Ltd.,SP015,Tech Procurement Services,SGP005,Tech & Digital Services Group,IM000048,CL001,マーケティング,CM010,データ分析,CS0048,データ分析（スポット対応）,EA,50.0,1710385.02,85519250.97,JPY,NET60,UEDA,0,Framework,8551925.1,94071176.07
PO20253000278,1,2025-07-01,JP01,S002,横浜オフィス,D001,マーケティング,CC4001,SC048,アクティブロジ9 株式会社,SP008,HR Partners,SGP008,HR & Talent Solutions Group,IM000128,CL003,ビジネスサービス,CM026,翻訳/通訳,CS0128,翻訳/通訳（スポット対応）,EA,3.0,2215357.49,6646072.46,JPY,NET45,TANAKA,0,eProc,664607.25,7310679.71
PO20253000322,1,2025-07-01,JP01,S002,横浜オフィス,D002,営業（リテール）,CC4101,SC017,フロンティアマーケ30 株式会社,SP017,Packaging Partners,SGP007,Packaging & Materials Group,IM000113,CL003,ビジネスサービス,CM023,研修/教育,CS0113,研修/教育（スポット対応）,LOT,2.0,4804876.36,9609752.71,JPY,NET45,UEDA,1,Framework,960975.27,10570727.98
PO20253000334,1,2025-07-02,JP01,S001,本社（東京）,D006,物流,CC5001,SC047,クレストロジ1 株式会社,SP007,Packaging East Japan,SGP007,Packaging & Materials Group,IM000228,CL005,IT,CM046,SaaS(業務),CS0228,SaaS(業務)（スポット対応）,HOUR,20.0,178252.89,3565057.86,JPY,NET30,SUZUKI,0,eProc,356505.79,3921563.65
